Skill,Category,Aliases
Python,Programming & DB,"py, python3, cpython"
Java,Programming & DB,"java8, java17, core java"
C++,Programming & DB,"cpp, c plus plus"
C#,Programming & DB,"csharp, c sharp, .net c#"
R,Programming & DB,"r programming, r language, rstats"
SQL,Programming & DB,"structured query language, t-sql, pl/sql"
PostgreSQL,Programming & DB,"postgres, pgsql, postgresql db"
MySQL,Programming & DB,"mysql db, rdbms mysql"
MongoDB,Programming & DB,"mongo, nosql mongodb"
Redis,Programming & DB,"redis cache, in-memory redis"
Cassandra,Programming & DB,"apache cassandra, nosql cassandra"
SQLite,Programming & DB,"sqlite3, embedded sqlite"
Oracle,Programming & DB,"oracle db, plsql oracle"
TypeScript,Programming & DB,"ts, typescript lang"
JavaScript,Programming & DB,"js, ecmascript, es6"
Go,Programming & DB,"golang, go programming"
Rust,Programming & DB,"rust lang, rust-lang"
Scala,Programming & DB,"scala lang, apache spark scala"
Kotlin,Programming & DB,"kotlin android, kotlin jvm"
PHP,Programming & DB,"php7, php8, modern php"
Ruby,Programming & DB,"ruby on rails, ror ruby"
HTML,Web & API,"html5, hypertext markup"
CSS,Web & API,"css3, cascading style sheets, sass, scss"
React,Web & API,"reactjs, react.js, react native"
Node.js,Web & API,"nodejs, node, node js"
Express,Web & API,"expressjs, express.js"
FastAPI,Web & API,"fastapi python, async fastapi"
Django,Web & API,"django framework, django rest framework, drf"
Flask,Web & API,"flask python, flask microframework"
Vue.js,Web & API,"vue, vuejs, vue 3"
Angular,Web & API,"angularjs, angular 14, angular core"
Next.js,Web & API,"nextjs, react next.js"
GraphQL,Web & API,"graphql api, gql, apollo graphql"
REST APIs,Web & API,"restful api, rest api, web services, endpoints"
WebSockets,Web & API,"socket.io, websocket protocol"
Machine Learning,Machine Learning & Deep Learning,"ml, machine-learning, statistical learning"
Deep Learning,Machine Learning & Deep Learning,"dl, deep-learning, artificial neural networks, ann"
Scikit-Learn,Machine Learning & Deep Learning,"sklearn, scikit learn, scikitlearn"
TensorFlow,Machine Learning & Deep Learning,"tf, tensorflow 2, keras tensorflow"
Keras,Machine Learning & Deep Learning,"keras api, tf.keras"
PyTorch,Machine Learning & Deep Learning,"torch, pytorch lightning"
XGBoost,Machine Learning & Deep Learning,"xgb, extreme gradient boosting"
LightGBM,Machine Learning & Deep Learning,"lgbm, light gradient boosting"
CatBoost,Machine Learning & Deep Learning,catboost ml
Supervised Learning,Machine Learning & Deep Learning,"classification, regression, decision trees, random forest"
Unsupervised Learning,Machine Learning & Deep Learning,"clustering, k-means, dbscan, pca, dimensionality reduction"
Reinforcement Learning,Machine Learning & Deep Learning,"rl, q-learning, deep q network, policy gradient"
Neural Networks,Machine Learning & Deep Learning,"ann, mlp, multi-layer perceptron"
CNN,Machine Learning & Deep Learning,"convolutional neural networks, convnet, image classification"
RNN,Machine Learning & Deep Learning,"recurrent neural networks, lstm, gru"
Transformers,NLP & GenAI,"huggingface transformers, bert, roberta, t5, gpt"
LLMs,NLP & GenAI,"large language models, gpt-4, llama, claude, gemini"
Generative AI,NLP & GenAI,"genai, prompt engineering, diffusion models, stable diffusion"
NLP,NLP & GenAI,"natural language processing, text processing, computational linguistics"
LangChain,NLP & GenAI,"langchain framework, langsmith, langgraph"
LlamaIndex,NLP & GenAI,"llamaindex, gpt index"
RAG,NLP & GenAI,"retrieval augmented generation, vector retrieval"
Vector Databases,NLP & GenAI,"pinecone, weaviate, chromadb, milvus, qdrant, faiss"
Hugging Face,NLP & GenAI,"huggingface, transformers library, diffusers"
NLTK,NLP & GenAI,"natural language toolkit, nltk library"
spaCy,NLP & GenAI,"spacy nlp, spacy pipeline"
Text Mining,NLP & GenAI,"sentiment analysis, named entity recognition, ner, topic modeling, lda"
Embeddings,NLP & GenAI,"word2vec, sentence-transformers, text embeddings, semantic search"
Computer Vision,Machine Learning & Deep Learning,"cv, image processing, object detection, yolo, opencv"
OpenCV,Machine Learning & Deep Learning,"cv2, open computer vision"
Data Analysis,Data Analysis & BI,"exploratory data analysis, eda, data analytics, insights extraction"
Data Visualization,Data Analysis & BI,"data viz, charting, dashboarding, visual analytics"
Pandas,Data Analysis & BI,"pandas dataframe, series pandas"
NumPy,Data Analysis & BI,"numpy arrays, numerical python"
Matplotlib,Data Analysis & BI,"matplotlib.pyplot, plt"
Seaborn,Data Analysis & BI,"sns, seaborn visualization"
Plotly,Data Analysis & BI,"plotly express, dash plotly"
Power BI,Data Analysis & BI,"powerbi, dax power bi, microsoft power bi"
Tableau,Data Analysis & BI,"tableau desktop, tableau server, tableau dashboards"
Excel,Data Analysis & BI,"ms excel, advanced excel, pivot tables, vlookup, xlookup"
Looker,Data Analysis & BI,"looker studio, google data studio, lookml"
Statistics,Data Analysis & BI,"statistical analysis, hypothesis testing, p-value, a/b testing, probability"
A/B Testing,Data Analysis & BI,"split testing, randomized controlled trial, experiment design"
Time Series Analysis,Data Analysis & BI,"forecasting, arima, sarimax, prophet, seasonality"
Apache Spark,Big Data & Cloud,"pyspark, spark streaming, spark sql, spark rdd"
Hadoop,Big Data & Cloud,"hdfs, mapreduce, apache hadoop"
Kafka,Big Data & Cloud,"apache kafka, event streaming, kafka producer consumer"
Airflow,Big Data & Cloud,"apache airflow, dags, data pipeline orchestration"
dbt,Big Data & Cloud,"data build tool, dbt models, data transformations"
Snowflake,Big Data & Cloud,"snowflake cloud data warehouse, snowsql"
BigQuery,Big Data & Cloud,"google bigquery, bq sql"
Databricks,Big Data & Cloud,"databricks lakehouse, delta lake"
ETL,Big Data & Cloud,"extract transform load, data pipelines, elt"
Data Warehousing,Big Data & Cloud,"dwh, star schema, snowflake schema, kimball"
Data Modeling,Big Data & Cloud,"relational modeling, dimensional modeling, er diagrams"
AWS,Big Data & Cloud,"amazon web services, ec2, s3, rds, lambda, sagemaker"
Google Cloud,Big Data & Cloud,"gcp, google cloud platform, vertex ai, compute engine"
Azure,Big Data & Cloud,"microsoft azure, azure ml, azure data factory, blob storage"
Cloud Computing,Big Data & Cloud,"cloud infrastructure, serverless, microservices"
Docker,DevOps & MLOps,"docker containers, dockerfile, docker-compose"
Kubernetes,DevOps & MLOps,"k8s, container orchestration, kubectl"
CI/CD,DevOps & MLOps,"continuous integration, continuous deployment, github actions, jenkins, gitlab ci"
MLOps,DevOps & MLOps,"machine learning operations, model deployment, model monitoring"
MLflow,DevOps & MLOps,"mlflow tracking, mlflow registry"
DVC,DevOps & MLOps,"data version control, iterative dvc"
Git,DevOps & MLOps,"github, gitlab, version control, git branching"
Linux,DevOps & MLOps,"bash scripting, shell, unix, ubuntu, command line"
Terraform,DevOps & MLOps,"infrastructure as code, iac, terraform hcl"
Data Structures,Core CS,"arrays, linked lists, stacks, queues, trees, graphs, heaps"
Algorithms,Core CS,"sorting, searching, dynamic programming, greedy, divide and conquer"
OOP,Core CS,"object oriented programming, classes, polymorphism, inheritance, encapsulation"
System Design,Core CS,"scalability, high availability, load balancing, caching, microservices"
Database Design,Core CS,"indexing, normalization, acid properties, query optimization"
Cyber Security,Core CS,"information security, network security, penetration testing, cryptography"
Networking,Core CS,"tcp/ip, http, dns, vpn, protocols, socket programming"
Communication,Soft Skills,"verbal communication, written communication, technical presentation"
