Job Role,Category,Must_Have_Skills,Good_To_Have_Skills,Benchmark_Description,Experience_Level
Software Development / SDE,Software Engineering,"Programming, DSA, OOP, Git, DBMS, SQL, REST APIs","Debugging, Unit Testing, System Design","Seeking a Software Development Engineer (SDE) with strong foundations in DSA, OOP, Git, DBMS, SQL, and REST APIs.",Entry-Mid Level
Web Development,Web & Full Stack,"HTML, CSS, JavaScript, React, Node.js, REST APIs, SQL","Vue.js, Angular, MongoDB, Git","Looking for a Web Developer to design and build responsive web applications, frontend components, and backend RESTful endpoints.",Entry-Mid Level
Frontend Development,Web & Full Stack,"HTML, CSS, JavaScript, TypeScript, React, REST APIs, Git","Next.js, Vue.js, Responsive Design, CSS3","Seeking a Frontend Developer with expertise in React, TypeScript, modern JavaScript, and component architecture.",Entry-Mid Level
Backend Development,Software Engineering,"Python, FastAPI, Java, Spring Boot, REST APIs, SQL, PostgreSQL","Docker, Redis, Authentication, Git","Looking for a Backend Developer to engineer scalable microservices, database schemas, and secure API endpoints.",Mid-Senior Level
Full Stack Development,Web & Full Stack,"HTML, CSS, JavaScript, React, Node.js, Python, SQL, Git","Docker, TypeScript, AWS, REST APIs",Seeking a versatile Full Stack Developer to deliver end-to-end features across browser UIs and server backends.,Mid-Senior Level
Data Analytics,Data Science & AI,"Python, Pandas, NumPy, SQL, Excel, Power BI","Tableau, Statistics, Data Visualization","Seeking a Data Analyst to extract business intelligence from raw data, write SQL queries, and construct dashboards.",Entry-Mid Level
Data Science,Data Science & AI,"Python, NumPy, Pandas, Statistics, SQL, Machine Learning","Scikit-Learn, Feature Engineering, PyTorch, Tableau","Seeking a Data Scientist to build predictive models, run statistical hypothesis tests, and derive data-driven solutions.",Mid-Senior Level
Machine Learning,Data Science & AI,"Python, NumPy, Pandas, Scikit-Learn, Statistics, Machine Learning","Feature Engineering, Model Evaluation, XGBoost, PyTorch","Looking for an ML Engineer to design predictive algorithms, engineer features, and validate classification/regression models.",Mid-Senior Level
Deep Learning,Data Science & AI,"Python, NumPy, PyTorch, TensorFlow, Neural Networks, CNN","Transformers, CUDA, RNN, Deep Learning","Seeking a Deep Learning Specialist to train convolutional networks, transformer architectures, and GPU-accelerated neural models.",Mid-Senior Level
Generative AI,Data Science & AI,"Python, Transformers, LLMs, LangChain, Vector Databases, RAG","Fine-Tuning, Prompt Engineering, PyTorch, Hugging Face","Join our GenAI team to develop autonomous agents, RAG semantic search pipelines, and foundation model fine-tuning workflows.",Mid-Senior Level
